Name,R.A.,Dec.,16cm,4cm,15mm,7mm,3mm
1455+080,14:57:38,07:49:55,0.126,0.126,0.052,0.078,0.109
1456+044,14:58:59,04:16:14,0.492,0.334,0.294,0.296,0.299
1456-367,14:59:16,-36:55:48,1.148,0.649,0.259,0.1,0.073
1458-391,15:01:35,-39:18:39,2.299,1.17,0.368,0.163,0.065
J1504-4248,15:04:06,-42:48:21,0.233,0.229,0.247,0.385,0.295
1502+106,15:04:25,10:29:39,,1.551,2.521,,
1502+036,15:05:06,03:26:31,0.557,0.82,0.729,0.51,0.737
1504-166,15:07:05,-16:52:30,0.989,1.794,1.432,2.656,0.778
1505+044,15:08:00,04:15:12,0.158,0.21,0.129,0.113,0.232
1505-49,15:08:39,-49:53:02,0.653,0.541,0.505,0.23,0.841
1508-055,15:10:54,-05:43:07,2.601,2.045,0.83,0.614,0.55
J1511-5203,15:11:09,-52:03:47,0.291,0.233,0.13,0.086,0.118
1509+054,15:11:41,05:18:09,0.188,0.808,0.651,0.369,0.114
1510-089,15:12:51,-09:06:00,1.872,2.562,3.502,3.033,3.083
J1513-4221,15:13:31,-42:21:56,0.126,0.2,0.215,0.156,0.403
1511-100,15:13:45,-10:12:00,0.928,1.024,1.204,0.9,0.994
1511-210,15:13:57,-21:14:58,0.497,0.512,0.335,0.233,0.121
1512+030,15:14:35,02:52:48,0.195,0.253,0.249,0.182,0.167
1511-47,15:14:40,-47:48:30,1.124,1.138,1.469,0.944,0.659
1511-55,15:15:13,-55:59:33,2.158,2.04,1.696,1.255,0.605
1514+004,15:16:40,00:15:02,0.725,0.674,0.935,0.61,1.058
1514-241,15:17:42,-24:22:19,2.295,2.417,2.503,2.355,1.888
1518+045,15:21:23,04:20:30,0.823,0.265,0.259,0.205,0.271
1519-273,15:22:38,-27:30:11,0.828,1.328,1.186,0.94,0.715
1520-58,15:24:51,-59:03:40,0.453,0.429,0.287,0.489,0.297
1524-136,15:26:59,-13:51:00,1.591,1.151,0.454,0.242,0.104
J1531-5108,15:31:44,-51:09:00,0.563,0.404,0.366,0.313,0.494
J1533-6837,15:33:34,-68:37:20,0.324,0.365,0.34,0.259,0.238
J1534-5351,15:34:21,-53:51:13,0.841,0.975,1.481,1.081,1.017
1532+016,15:34:52,01:31:04,0.731,0.725,0.755,0.653,0.554
J1535-4730,15:35:52,-47:30:23,0.204,0.279,0.36,0.208,0.364
J1538-6525,15:38:12,-65:25:51,0.217,0.166,0.103,0.051,0.072
1535+004,15:38:16,00:19:05,0.369,0.296,0.199,0.119,0.081
1536+046,15:39:10,04:30:51,0.046,0.292,0.083,0.172,0.25
1540-077,15:43:02,-07:57:07,1.332,1.025,0.451,0.264,0.127
1542+042,15:44:59,04:07:46,0.515,0.446,0.315,0.165,0.72
1543+005,15:46:10,00:26:25,1.152,0.946,0.393,0.292,0.18
J1546-6837,15:46:44,-68:37:30,0.177,0.118,0.067,0.084,0.329
J1548-6401,15:48:30,-64:01:35,0.372,0.558,0.421,0.391,0.494
1546+027,15:49:29,02:37:01,2.579,3.52,2.972,2.962,4.653
1548+056,15:50:35,05:27:10,2.718,2.346,2.061,1.681,2.063
1540-828,15:50:59,-82:58:07,1.21,1.308,1.012,0.523,1.75
J1552-7614,15:52:20,-76:14:47,0.219,0.186,0.099,0.096,0.421
1551+130,15:53:33,12:56:52,,0.874,0.783,,
1550-269,15:54:02,-27:04:40,0.968,0.896,0.62,0.403,0.328
J1555-4522,15:55:16,-45:22:38,0.403,0.53,0.272,0.149,0.079
J1555-7940,15:55:20,-79:40:37,,0.361,,,
1549-790,15:56:59,-79:14:04,3.777,1.909,0.673,0.355,0.548
1555+001,15:57:51,-00:01:50,0.342,0.621,0.508,0.396,0.435
1555-140,15:58:22,-14:09:59,0.4,0.365,0.173,0.089,0.056
1554-64,15:58:50,-64:32:30,0.702,0.604,0.503,0.411,0.322
1557+032,15:59:31,03:04:48,0.54,0.627,0.424,0.25,0.151
1600-48,16:03:51,-49:04:06,1.374,1.13,0.689,0.47,0.264
1600-44,16:04:31,-44:41:32,1.551,1.222,1.22,1.542,1.378
1602+014,16:04:45,01:17:51,1.026,0.464,0.07,0.05,0.029
1602-174,16:05:02,-17:34:14,0.851,0.274,0.029,0.005,0.052
1604-333,16:07:35,-33:31:09,0.12,0.15,0.225,0.246,0.101
1606+106,16:08:46,10:29:08,,0.857,1.366,,
1607+268,16:09:13,26:41:29,,,0.389,,
1606-39,16:10:22,-39:58:58,0.519,0.464,0.525,0.482,0.935
1614+051,16:16:38,04:59:33,0.662,1.127,0.583,0.205,0.233
1613-586,16:17:18,-58:48:08,5.55,5.001,3.207,2.03,1.632
J1617-5914,16:17:42,-59:14:36,0.153,0.181,0.193,0.174,0.058
1610-771,16:17:49,-77:17:18,3.098,2.704,2.123,1.745,0.608
1615+029,16:17:50,02:46:43,0.43,0.489,0.525,0.571,0.153
1616+063,16:19:04,06:13:02,0.907,0.885,0.318,0.34,0.09
1607-841,16:19:34,-84:18:19,1.021,0.344,0.071,0.026,0.031
J1619-4228,16:19:55,-42:28:15,0.054,0.257,0.107,0.075,0.022
1616-52,16:20:18,-52:09:27,0.341,0.539,0.387,0.269,0.097
1621+078,16:23:58,07:41:31,0.09,0.178,0.301,0.369,0.136
1621-115,16:24:00,-11:40:44,1.444,0.284,0.038,0.037,0.031
1621+058,16:24:08,05:43:24,0.108,0.131,0.189,0.109,0.037
1619-680,16:24:18,-68:09:13,2.051,1.888,0.859,0.422,0.162
1622-253,16:25:47,-25:27:38,1.16,2.031,1.566,1.095,2.17
1622-310,16:25:55,-31:08:08,1.042,0.537,0.227,0.178,0.085
1622-297,16:26:06,-29:51:27,1.959,1.667,0.961,0.87,1.577
1623-492,16:27:04,-49:23:37,0.022,0.01,0.008,0.001,0.002
1624-61,16:28:55,-61:52:36,0.947,1.369,0.954,0.841,0.162
J1628-49,16:28:58,-49:36:25,0.06,0.499,0.001,0.002,0.031
1625-492,16:29:23,-49:22:03,0.103,0.203,0.184,0.124,0.098
J1631-5256,16:31:07,-52:56:36,0.089,0.139,0.106,0.103,0.115
J1631-4345,16:31:38,-43:45:25,0.229,0.375,0.502,0.285,0.078
J1636-4101,16:36:55,-41:02:01,,1.152,,,
J1639-6044,16:39:26,-60:44:22,0.12,0.188,0.164,0.124,0.059
1633-810,16:42:57,-81:08:35,0.293,0.25,0.193,0.174,0.315
1641+399,16:42:59,39:48:37,,,6.871,,
1641+074,16:44:16,07:20:34,0.35,0.278,0.134,0.093,0
1643-223,16:46:05,-22:28:00,0.78,0.376,0.058,0.024,0.002
1642-645,16:47:38,-64:38:00,0.669,0.738,1.012,0.925,0.373
1646+042,16:49:28,04:12:04,0.362,0.526,0.339,0.52,0.226
1647+065,16:49:50,06:26:53,0.242,0.363,0.192,0.212,0.091
1646-50,16:50:17,-50:44:48,0.669,0.846,1.071,0.616,1.795
1648+084,16:50:38,08:24:52,0.196,0.13,0.388,0.116,0.11
1647-296,16:50:40,-29:43:47,0.487,0.271,0.81,0.339,1.353
1648+015,16:51:04,01:29:23,0.693,0.74,0.459,0.44,0.363
1649+063,16:52:01,06:18:55,0.407,0.503,0.447,0.256,0.174
J1657-6121,16:57:49,-61:21:38,0.221,0.287,0.198,0.135,0.014
1655+077,16:58:09,07:41:28,0.831,1.451,1.778,1.869,1.113
1656+053,16:58:33,05:15:16,0.719,0.431,0.135,0.11,0.126
1656-075,16:58:44,-07:39:18,0.88,0.822,0.429,0.187,0.13
J1659-5247,16:59:02,-52:47:14,0.11,0.143,0.126,0.075,0.063
1657+054,17:00:24,05:22:44,0.051,0.273,0.165,0.129,0.074
1657-261,17:00:53,-26:10:52,1.048,2.199,2.011,3.18,1.281
1657-298,17:01:10,-29:54:39,1.092,0.556,0.168,0.068,0.028
J1701-5703,17:01:27,-57:03:02,0.093,0.072,0.092,0.053,0.079
1657-56,17:01:45,-56:21:56,1.896,1.676,1.199,0.586,0.49
1658-62,17:03:37,-62:12:40,0.81,1.211,1.818,1.192,0.381
J1703-6511,17:03:50,-65:11:06,0.215,0.141,0.086,0.074,0.129
J1704-5751,17:04:18,-57:51:02,0.22,0.213,0.272,0.285,0.068
1705+018,17:07:34,01:48:46,0.821,1.073,0.409,0.336,0.279
1706+006,17:08:45,00:35:10,0.489,0.353,0.165,0.144,0.323
1706-174,17:09:34,-17:28:53,0.352,0.352,0.691,0.217,0.276
J1711-5028,17:11:41,-50:28:17,0.09,0.095,0.109,0.064,0.105
1709-281,17:12:57,-28:09:33,1.071,0.795,0.095,-0.003,-0.01
1710-269,17:13:31,-26:58:53,0.958,1.444,0.739,1.148,0.299
J1713-3706,17:13:45,-37:06:11,0.41,0.121,0.001,-0.002,
1711-251,17:14:48,-25:14:35,1.741,0.638,0.149,0.052,0.011
J1716-6045,17:16:56,-60:45:45,0.136,0.124,0.076,0.053,0.067
J1717-5702,17:17:02,-57:02:17,0.244,0.27,0.211,0.167,0.226
J1717-5155,17:17:35,-51:55:32,0.36,0.344,0.328,0.664,0.7
1714-336,17:17:36,-33:42:09,0.842,1.768,0.457,1.258,1.714
1714-397,17:17:39,-39:48:53,2.057,1.192,0.432,0.228,0.153
J1718-5815,17:18:38,-58:15:40,0.134,0.153,0.111,0.115,0.098
J1718-6239,17:18:58,-62:39:46,0.277,0.206,0.133,0.098,0.045
1716+070,17:19:11,06:58:16,0.212,0.409,0.207,0.378,0.19
1717+083,17:19:52,08:17:04,0.471,0.675,0.163,0.165,0.036
1717-358,17:20:22,-35:52:48,0.179,0.156,0.602,0.892,0.553
J1721-6154,17:21:39,-61:54:43,0.139,0.313,0.382,0.264,0.144
1718-649,17:23:41,-65:00:37,4.732,4.961,2.698,1.655,0.729
J1723-7713,17:23:51,-77:13:51,0.435,0.597,0.423,0.438,1.49
J1724-5911,17:24:50,-59:11:25,0.263,0.214,0.133,0.122,0.056
J1726-7259,17:26:01,-73:00:00,0.773,0.669,0.613,0.311,0.041
1724+066,17:26:45,06:39:19,0.205,0.147,0.108,0.094,0.092
1722-55,17:26:50,-55:29:41,4.568,1.812,0.293,0.088,0.01
1722-64,17:26:58,-64:27:53,3.087,1.174,0.243,0.084,0.007
1725+044,17:28:25,04:27:05,0.413,0.598,0.63,0.552,0.373
1728+004,17:30:35,00:24:39,0.173,0.2,0.214,0.188,0.782
J1732-5553,17:32:28,-55:53:51,0.096,0.17,0.221,0.096,0.006
1730-130,17:33:03,-13:04:50,5.544,5.067,3.891,2.411,3.25
1729-37,17:33:15,-37:22:32,1.13,1.547,1.133,1.06,1.121
1725-795,17:33:41,-79:35:56,,,,,0.713
1732+094,17:34:58,09:26:58,1.275,0.998,0.263,0.1,-0.003
J1735-6215,17:35:08,-62:15:22,0.513,0.559,0.505,0.303,0.245
1734+063,17:37:14,06:21:04,0.504,0.42,0.241,0.23,0.197
J1737-5921,17:37:20,-59:21:42,0.252,0.295,0.258,0.159,0.164
1733-565,17:37:36,-56:34:03,,0.003,0.086,0.056,
J1738-5334,17:38:39,-53:34:10,0.2,0.115,0.125,0.101,0.016
J1739-4137,17:39:06,-41:37:44,0.781,0.566,0.28,0.172,0.082
1740-309,17:43:18,-30:58:18,0.31,0.246,0.14,0.095,0.066
J1743-6626,17:43:49,-66:26:28,0.094,0.093,0.106,0.097,0.18
1741-038,17:43:59,-03:50:05,3.47,3.388,4.135,2.407,3.93
1741-312,17:44:24,-31:16:36,0.305,0.578,0.458,0.573,0.412
1740-517,17:44:25,-51:44:44,5.874,3.84,1.4,0.587,0.033
1742-078,17:45:27,-07:53:04,1.014,1.152,1.048,0.811,1.171
1743+173,17:45:35,17:20:01,,0.625,0.793,,
1742-289,17:45:40,-29:00:28,0.082,0.611,1.296,1.353,3.88
J1747-4057,17:47:06,-40:57:51,0.257,0.218,0.164,0.116,0.127
1743-531,17:47:20,-53:10:20,0.455,0.342,0.374,0.176,0.39
J1747-4213,17:47:41,-42:13:43,0.109,0.151,0.1,0.088,0.109
1745+085,17:48:06,08:32:19,0.216,0.237,0.155,0.093,0.01
J1748-5713,17:48:35,-57:13:33,0.194,0.297,0.231,0.125,0.073
J1749-6258,17:49:26,-62:58:19,0.076,0.335,0.397,0.307,0.146
1749+096,17:51:33,09:39:01,1.425,1.814,2.531,2.755,3.002
1748-253,17:51:51,-25:24:00,0.798,0.378,0.117,0.053,-0.004
J1753-5015,17:53:39,-50:15:14,0.078,0.164,0.123,0.163,0.138
J1755-5536,17:55:05,-55:36:55,0.276,0.337,0.289,0.198,0.161
1752-225,17:55:26,-22:32:11,0.351,0.502,0.271,0.308,0.129
J1757-4149,17:57:16,-41:49:19,0.403,0.427,0.365,0.275,0.246
1757-240,18:00:30,-24:04:01,0.261,0.442,1.358,0.325,
1756-663,18:01:18,-66:23:02,1.326,0.526,0.134,0.044,-0.028
J1801-6839,18:01:35,-68:39:58,0.501,0.369,0.174,0.028,-0.004
J1802-4925,18:02:10,-49:25:11,0.448,0.594,0.394,0.238,0.082
1759-39,18:02:43,-39:40:08,1.046,0.9,0.86,0.774,1.927
1758-651,18:03:23,-65:07:37,0.984,0.806,0.698,0.525,0.873
1801+095,18:03:34,09:34:26,0.142,0.122,0.108,,0.083
1801+036,18:03:56,03:41:08,0.281,0.223,0.186,0.14,0.438
1801+010,18:04:16,01:01:32,0.845,0.957,0.881,0.573,
J1805-6600,18:05:53,-66:00:17,0.228,0.218,0.189,0.126,0.081
J1806-7058,18:06:24,-70:58:29,0.264,0.366,0.243,0.139,0.005
J1806-8042,18:06:43,-80:42:34,0.289,0.243,0.171,0.194,0.857
1804-251,18:07:41,-25:06:26,0.247,0.269,0.251,0.148,0.174
J1807-6413,18:07:54,-64:13:50,0.164,0.311,0.419,0.303,0.383
1808-209,18:11:07,-20:55:03,0.685,0.303,0.079,0.035,0.159
1810-068,18:12:51,-06:48:24,1.131,0.934,0.297,0.148,0.295
1811+062,18:13:33,06:15:42,0.284,0.411,0.313,,0.381
1814-519,18:18:07,-51:58:08,1.777,0.388,0.065,0.045,-0.002
1815-111,18:18:19,-11:08:48,1.675,1.014,0.385,0.171,0.104
1814-637,18:19:35,-63:45:48,9.527,4.135,1.259,0.447,0.384
1815-553,18:19:45,-55:21:21,0.469,0.582,0.639,0.484,0.273
J1820-4542,18:20:17,-45:42:31,0.308,0.238,0.147,0.057,0.012
1817-098,18:20:38,-09:47:17,0.734,0.323,0.079,0.053,0.009
1817-254,18:20:58,-25:28:13,1.105,1.203,1.213,0.483,0.675
J1821-7635,18:21:25,-76:35:00,0.469,0.325,0.162,0.055,0.221
1819-131,18:22:11,-13:09:44,0.367,0.162,0.037,0.01,0.008
1819-096,18:22:29,-09:38:57,4.432,2.143,0.635,0.271,0.134
1821+107,18:24:03,10:44:24,,0.87,0.502,,
1822+012,18:24:48,01:19:34,0.169,0.276,0.218,0.164,0.283
J1825-5230,18:25:14,-52:30:58,0.297,0.335,0.268,0.31,0.402
1822-173,18:25:37,-17:18:50,0.448,0.41,0.242,0.139,0.109
1822-076,18:25:38,-07:37:30,0.378,0.394,0.29,0.192,0.224
1822-36,18:26:08,-36:50:50,0.314,0.33,0.447,0.383,0.59
1823-455,18:27:10,-45:33:10,0.626,0.563,0.422,0.224,0.1
1824-582,18:29:12,-58:13:55,1.082,1.203,0.975,0.725,0.335
J1829-5705,18:29:28,-57:05:34,0.165,0.218,0.238,0.194,0.143
1827+062,18:30:06,06:19:16,0.426,0.456,0.872,,0.599
1827-360,18:30:59,-36:02:30,4.21,1.14,0.145,0.019,0.01
1829-207,18:32:11,-20:39:48,1.303,1.036,0.658,0.484,0.63
1829-106,18:32:21,-10:35:11,0.987,1.626,1.176,0.72,0.305
J1832-5659,18:32:31,-56:59:21,0.105,0.172,0.165,0.133,0.24
1830+074,18:32:42,07:31:55,0.279,0.361,0.455,,0.359
1830-210,18:33:40,-21:03:40,10.205,7.754,2.886,3.07,2.511
1831-030,18:34:14,-03:01:21,0.206,0.228,0.179,0.115,0.189
1831-126,18:34:19,-12:37:41,0.347,0.104,0.026,0.006,0.004
J1834-5856,18:34:27,-58:56:36,0.311,0.383,0.348,0.265,0.464
1829-718,18:35:37,-71:49:58,2.213,1.01,0.28,0.119,-0.014
1831-711,18:37:29,-71:08:44,1.489,2.572,2.685,1.76,1.294
1836+040,18:38:49,04:04:25,0.525,0.615,0.386,0.3,0.687
1836+094,18:38:55,09:27:28,0.146,0.141,0.138,,0.147
J1840-6152,18:40:15,-61:52:06,0.116,0.209,0.217,0.185,0.223
J1840-7709,18:40:39,-77:09:29,0.561,0.248,0.112,0.063,0.197
J1841-5544,18:41:17,-55:44:17,0.198,0.125,0.099,0.095,0.08
1844+081,18:47:13,08:10:35,0.125,0.326,0.274,,0.19
1849+005,18:51:47,00:35:32,0.859,0.932,1.567,0.834,0.71
1849-36,18:53:18,-36:28:42,1.058,0.61,0.212,0.079,0.012
J1856-8325,18:56:05,-83:25:44,0.104,0.173,0.185,0.139,0.29
1854+061,18:56:32,06:10:17,0.182,0.303,0.155,,0.233
1853-534,18:57:00,-53:25:00,0.589,0.546,0.255,0.127,0.055
1854-663,18:59:58,-66:15:02,1.076,0.402,0.077,0.013,0.005
J1901-5139,19:01:49,-51:39:08,0.145,0.225,0.226,0.154,0.123
1859-235,19:02:49,-23:29:52,2.182,0.854,0.241,0.078,0.127
J1903-6749,19:03:01,-67:49:36,0.251,0.376,0.757,0.528,0.499
1904+013,19:07:12,01:27:09,0.53,0.422,0.296,0.141,0.334
J1908-4548,19:08:44,-45:48:41,0.128,0.178,0.211,0.162,0.094
J1910-7417,19:10:22,-74:17:33,0.205,0.216,0.162,0.117,0.589
1908-201,19:11:10,-20:06:55,2.981,2.365,2.589,1.572,2.326
1903-802,19:12:40,-80:10:06,0.804,0.961,0.971,0.988,1.528
1910+052,19:12:54,05:18:01,0.338,0.277,0.163,,0.094
J1913-3630,19:13:21,-36:30:20,,0.146,,,
J1913-6950,19:13:31,-69:50:38,0.016,0.031,0.228,0.132,0.126
J1914-4631,19:14:14,-46:31:32,0.162,0.431,0.24,0.113,0.252
J1919-4543,19:19:17,-45:43:39,0.584,0.446,0.256,0.222,0.341
1916+062,19:19:17,06:19:43,0.21,0.154,0.099,,0.09
J1923-6320,19:23:25,-63:20:46,0.205,0.207,0.227,0.143,0.153
1920-211,19:23:32,-21:04:33,1.816,1.846,1.231,1.653,2.29
1921-293,19:24:51,-29:14:30,7.208,15.819,12.145,8.654,14.267
1923+210,19:26:00,21:06:26,,2.518,1.268,,
1926+087,19:28:41,08:48:48,0.378,0.272,0.255,,0.092
1926+050,19:29:20,05:07:58,0.482,0.505,0.21,,0.192
1925-610,19:30:06,-60:56:09,0.775,0.897,0.741,0.389,0.266
J1934-8711,19:34:26,-87:11:59,0.491,0.563,0.47,0.302,0.072
1933-400,19:37:16,-39:58:02,0.666,1.011,0.973,0.972,0.82
1933-587,19:37:32,-58:38:28,1.792,0.871,0.227,0.108,0.001
1936+046,19:38:31,04:48:12,0.587,0.495,0.385,0.143,0.256
1934-638,19:39:25,-63:42:46,12.607,4.961,1.164,0.466,0.116
1936-155,19:39:27,-15:25:43,0.676,0.7,1.126,0.719,0.707
1937-101,19:39:57,-10:02:42,0.955,0.746,0.277,0.11,0.097
1935-692,19:40:26,-69:07:57,1.232,0.798,0.277,0.127,0.208
J1940-6527,19:40:39,-65:27:16,0.148,0.196,0.107,0.078,0.066
1938-155,19:41:15,-15:24:31,2.474,1.22,0.55,0.169,0.033
1936-623,19:41:22,-62:11:21,,0.898,0.667,,
J1941-7605,19:41:31,-76:05:49,0.049,0.129,0.06,0.106,0.19
1941-554,19:45:24,-55:20:49,0.786,0.86,0.739,0.505,0.604
J1949-6817,19:49:53,-68:17:46,0.056,0.065,0.081,0.089,0.085
1946-200,19:49:53,-19:57:13,1.584,0.869,0.663,0.359,0.585
1947+079,19:50:06,08:07:14,1.265,1.099,0.453,,0.051
J1950-5804,19:50:37,-58:04:40,0.215,0.191,0.146,0.125,0.034
1950-613,19:55:11,-61:15:19,1.368,0.796,0.314,0.083,-0.015
1953-077,19:56:11,-07:36:55,1.017,0.353,0.044,0.08,0.122
1953-325,19:56:59,-32:25:46,0.417,0.351,0.339,0.389,0.722
1954-388,19:58:00,-38:45:06,2.582,1.916,2.345,2.18,6.497
1955-357,19:59:04,-35:34:32,1.103,0.54,0.067,0.073,0.073
J1959-4246,19:59:13,-42:46:08,0.314,0.347,0.275,0.166,0.315
J2000-4749,20:00:13,-47:49:52,,0.132,0.217,,
1958-179,20:00:57,-17:48:58,2.085,3.009,2.626,1.574,4.469
2000-330,20:03:24,-32:51:45,0.723,0.673,0.358,0.129,0.149
1959-63,20:04:29,-63:47:23,0.88,0.842,0.435,0.281,0.335
2002-375,20:05:55,-37:23:41,0.491,0.699,0.525,0.28,0.402
J2007-7730,20:07:06,-77:30:42,0.242,0.21,0.199,0.173,0.463
2004+064,20:07:12,06:36:45,0.201,0.402,0.361,0.189,0.23
2004-447,20:07:55,-44:34:44,0.605,0.332,0.151,0.072,0.243
J2008-8408,20:08:25,-84:08:50,0.183,0.163,0.129,0.021,0.122
2005-489,20:09:25,-48:49:54,0.99,0.882,0.77,0.491,0.856
J2009-7134,20:09:29,-71:34:40,0.183,0.084,0.05,0.042,0.028
2008-068,20:11:14,-06:44:04,2.349,1.316,0.414,0.135,0.099
2008-159,20:11:16,-15:46:40,0.851,1.668,2.108,1.145,1.099
J2015-6712,20:15:00,-67:12:59,0.088,0.079,0.058,0.048,0.061
2013+370,20:15:29,37:11:00,,1.967,2.283,,
J2017-6824,20:17:29,-68:24:55,0.306,0.28,0.193,0.141,0.15
2015+083,20:18:11,08:31:55,0.577,0.515,0.277,0.091,0.056
J2019-5201,20:19:04,-52:01:39,0.227,0.264,0.189,0.113,0.471
2016-615,20:21:01,-61:24:49,0.799,0.502,0.212,0.113,0.172
2019+050,20:21:35,05:15:05,0.43,0.535,0.274,0.136,0.119
J2023-5812,20:23:28,-58:12:25,0.241,0.183,0.092,0.095,0.083
2021+003,20:24:23,00:27:53,0.128,0.116,0.084,0.121,0.109
2021-330,20:24:36,-32:53:36,,0.806,,,
2022+031,20:25:10,03:16:45,0.281,0.389,0.372,0.318,0.462
J2027-7007,20:27:25,-70:07:17,0.354,0.343,0.311,0.298,0.195
J2027-4726,20:27:51,-47:26:20,0.155,0.213,0.17,0.124,0.3
J2029-5339,20:29:35,-53:39:07,0.14,0.123,0.082,0.108,0.173
2032+107,20:35:22,10:56:07,,0.347,0.561,0.51,
J2035-6944,20:35:41,-69:44:07,0.104,0.175,0.195,0.068,0.047
2032-350,20:35:48,-34:54:09,2.115,0.307,0.359,0.021,0.019
2030-689,20:35:49,-68:46:34,0.553,0.8,0.606,0.436,0.478
J2035-6602,20:35:52,-66:02:08,0.271,0.194,0.126,0.077,0.157
J2039-8128,20:39:18,-81:28:03,0.289,0.251,0.13,0.036,0.146
J2039-7206,20:39:58,-72:06:56,0.051,0.087,0.123,0.091,0.143
J2040-5735,20:40:01,-57:35:10,0.622,0.542,0.338,0.21,0.364
2037-253,20:40:09,-25:07:47,0.678,0.668,0.538,0.294,0.164
J2041-7515,20:41:21,-75:15:37,0.163,0.176,0.105,0.087,0.349
J2046-7400,20:46:57,-74:00:04,0.273,0.271,0.287,0.158,0.291
2044-027,20:47:10,-02:36:22,1.764,0.917,0.389,0.13,0.165
2044-168,20:47:20,-16:39:06,0.355,0.377,0.153,0.062,0.075
J2049-4020,20:49:10,-40:20:31,0.282,0.374,0.346,0.223,0.231
2047+039,20:50:06,04:07:49,0.762,0.859,0.664,0.329,0.727
J2050-7622,20:50:58,-76:22:51,0.109,0.179,0.229,0.158,0.241
J2052-6523,20:52:07,-65:23:11,0.541,0.483,0.325,0.236,0.082
J2052-5533,20:52:14,-55:33:10,0.274,0.213,0.107,0.085,0.33
2049-368,20:52:17,-36:40:30,0.845,0.249,0.027,0.005,0.098
J2053-6255,20:53:06,-62:55:51,0.223,0.383,0.359,0.108,0.214
2052-474,20:56:16,-47:14:48,1.719,1.269,1.035,0.892,2.037
J2056-5820,20:56:31,-58:20:08,0.418,0.486,0.422,0.279,0.304
2054-377,20:57:42,-37:34:03,0.42,0.476,0.446,0.309,0.932
2058-297,21:01:02,-29:33:28,0.614,0.667,0.911,0.672,0.838
2059+034,21:01:39,03:41:31,0.47,1.28,2.525,1.865,1.404
2058-425,21:01:59,-42:19:16,1.02,0.559,0.191,0.099,0.118
J2105-4848,21:05:01,-48:48:47,0.835,0.908,0.434,0.24,0.47
2059-786,21:05:45,-78:25:35,0.659,0.893,0.709,0.502,0.391
2101-715,21:06:03,-71:22:18,0.871,0.579,0.268,0.135,0.075
2102-659,21:07:00,-65:47:44,1.095,0.643,0.308,0.17,0.277
2105-489,21:08:51,-48:46:22,0.904,0.589,0.302,0.167,0.173
J2108-6637,21:08:52,-66:37:23,0.187,0.186,0.121,0.095,0.219
2106-413,21:09:33,-41:10:21,1.469,1.599,0.96,0.578,0.533
2107-105,21:10:01,-10:20:57,1.469,1.074,0.621,0.36,0.547
2110-352,21:14:03,-35:02:36,0.678,0.216,0.056,0.015,0.097
J2114-6851,21:14:13,-68:51:02,0.39,0.281,0.17,0.1,0.066
2111-259,21:14:40,-25:41:49,0.149,0.234,0.125,0.059,0.065
J2116-5527,21:16:30,-55:27:20,0.238,0.455,0.28,0.135,0.116
2109-811,21:16:31,-80:53:55,0.577,0.734,0.645,0.45,1.716
2114+053,21:16:37,05:36:17,0.163,0.243,0.148,0.167,0.091
2114+048,21:17:21,05:03:04,0.167,0.232,0.208,0.3,0.491
2118+053,21:20:41,05:33:45,0.175,0.252,0.225,0.121,0.47
2117-61,21:21:04,-61:11:25,0.87,0.599,0.36,0.221,0.4
2117-642,21:21:55,-64:04:30,1.231,0.595,0.19,0.094,0.041
2121+053,21:23:45,05:35:22,2.033,1.713,1.481,0.992,2.034
J2124-8147,21:24:55,-81:47:12,0.326,0.397,0.277,0.188,0.275
2122+044,21:25:29,04:41:36,0.298,0.339,0.304,0.199,0.304
2126-158,21:29:12,-15:38:41,0.903,2.402,1.172,0.621,0.29
2126-185,21:29:21,-18:21:23,1.318,0.9,0.414,0.199,0.258
2127+085,21:30:16,08:43:56,0.061,0.096,0.093,0.057,0.172
2128+048,21:30:33,05:02:17,3.244,1.846,0.677,0.363,0.218
J2130-4515,21:30:52,-45:15:43,0.089,0.316,0.218,0.112,0.203
2128-208,21:31:01,-20:36:56,1.304,0.509,0.133,0.038,0.022
2128-123,21:31:35,-12:07:05,2.219,2.479,2.155,1.486,1.314
2131-021,21:34:10,-01:53:17,1.738,2.407,2.123,1.667,4.173
J2134-6513,21:34:13,-65:13:37,0.233,0.219,0.161,0.121,0.488
J2135-5006,21:35:20,-50:06:52,0.213,0.2,0.171,0.131,
J2135-6848,21:35:50,-68:48:34,0.208,0.246,0.171,0.107,0.074
J2136-6335,21:36:22,-63:35:51,0.164,0.186,0.143,0.085,0.145
2134+004,21:36:39,00:41:54,6.657,11.548,7.265,3.378,3.471
2135-209,21:37:50,-20:42:32,2.732,1.359,0.468,0.262,0.205
2134-470,21:38:01,-46:46:40,1.154,0.657,0.258,0.104,0.095
2135-248,21:38:37,-24:39:54,0.659,0.645,0.41,0.424,0.428
2136+141,21:39:01,14:23:36,,,1.822,,
J2141-6411,21:41:46,-64:11:14,0.157,0.252,0.294,0.345,0.323
2140-048,21:42:37,-04:37:44,0.561,0.492,0.34,0.182,0.846
2143-156,21:46:23,-15:25:44,0.39,0.443,0.514,0.566,0.667
J2146-7755,21:46:30,-77:55:59,,0.396,,,
J2147-7812,21:47:06,-78:12:22,0.31,0.326,0.259,0.295,0.717
2144+092,21:47:10,09:29:47,0.978,0.772,0.589,0.441,0.384
2142-758,21:47:13,-75:36:13,1.137,0.94,0.488,0.282,0.985
