Name,R.A.,Dec.,16cm,4cm,15mm,7mm,3mm
0205-010,02:08:26,-00:47:44,0.581,0.48,0.315,0.167,0.193
0206-048,02:09:31,-04:38:26,0.287,0.289,0.265,0.141,0.112
0208-512,02:10:46,-51:01:02,2.73,2.83,3.195,3.474,1.112
J0214-7027,02:14:04,-70:27:06,0.084,0.1,0.18,,0.119
J0214-6149,02:14:16,-61:49:34,0.448,0.645,0.651,,0.359
0213-026,02:15:42,-02:22:57,0.542,0.786,0.603,0.266,0.229
0213+051,02:15:55,05:24:26,0.124,0.195,0.19,,0.065
0214-522,02:16:03,-52:00:12,0.847,0.531,0.239,0.115,0.072
0215+015,02:17:49,01:44:50,0.933,0.643,0.466,0.366,0.877
0216+011,02:19:07,01:21:00,0.497,0.897,1.056,0.756,0.454
J0219-6806,02:19:42,-68:06:18,0.448,0.334,0.172,,0.106
0218-021,02:20:54,-01:56:52,0.44,0.013,0.016,0.003,-0.006
0220-349,02:22:56,-34:41:29,1.187,1.083,0.588,0.366,0.376
J0223-5347,02:23:31,-53:47:40,0.251,0.555,0.559,,0.193
0221+067,02:24:28,06:59:23,0.598,1.134,0.92,1.828,2.466
J0228-5546,02:28:22,-55:46:03,0.508,0.684,0.758,,0.932
J0229-5403,02:29:13,-54:03:24,0.229,0.295,0.161,,0.079
0230-790,02:29:35,-78:47:46,0.432,0.813,0.82,0.534,-0.056
J0231-4746,02:31:12,-47:46:12,0.258,0.527,0.515,,0.706
J0231-5841,02:31:17,-58:41:07,0.193,0.197,0.143,,0.095
0229-398,02:31:52,-39:35:46,0.376,0.419,0.342,0.212,0.093
0231+045,02:34:07,04:46:43,0.311,0.195,0.08,0.044,0.023
0235-618,02:36:53,-61:36:15,0.251,0.278,0.379,0.377,0.152
0234+052,02:37:14,05:26:50,0.101,0.111,0.091,,0.076
0237-027,02:39:45,-02:34:41,0.363,0.853,0.614,0.534,0.31
0237+040,02:39:51,04:16:21,0.814,0.674,0.601,0.461,0.602
0237-233,02:40:08,-23:09:16,5.281,2.598,1.102,0.407,0.232
0238-084,02:41:05,-08:15:21,0.658,1.289,2.671,1.594,2.112
0240-217,02:42:36,-21:32:26,1.094,0.691,0.301,0.15,0.106
0240-002,02:42:41,-00:00:47,2.131,0.549,0.253,0.039,0.041
J0246-4651,02:46:00,-46:51:17,0.973,0.9,1.098,,0.479
0246+061,02:49:18,06:19:52,0.807,0.79,0.526,,0.182
J0251-6000,02:51:26,-60:00:06,0.255,0.346,0.541,,0.558
0252-712,02:52:46,-71:04:35,4.001,1.51,0.352,0.119,-0.004
0250-225,02:52:48,-22:19:25,,0.352,0.338,0.232,
J0253-7513,02:53:11,-75:13:17,0.363,0.314,0.281,0.166,0.198
0252-549,02:53:29,-54:41:51,0.946,1.063,1.227,0.972,1.458
0256+054,02:58:51,05:41:08,0.145,0.233,0.219,,0.188
0256+075,02:59:27,07:47:40,0.833,0.904,0.845,,0.864
0258+011,03:01:24,01:18:36,0.318,0.346,0.403,0.233,0.329
0301-721,03:01:38,-71:56:34,,0.335,,,
J0303-7914,03:03:21,-79:14:57,0.226,0.497,0.284,0.331,0.276
J0303-6458,03:03:51,-64:58:55,0.123,0.145,0.148,,0.195
0302-623,03:03:51,-62:11:26,3.097,1.578,1.148,0.901,0.569
J0304-7007,03:04:18,-70:07:41,0.227,0.229,0.133,,0.044
J0304-4333,03:04:29,-43:33:16,0.205,0.303,0.236,,0.055
J0307-4857,03:07:34,-48:57:12,0.244,0.19,0.109,,0.004
0308-611,03:09:56,-60:58:39,1.018,2.582,2.57,2.217,0.615
0312-770,03:11:55,-76:51:51,,0.434,,,
J0312-5541,03:12:07,-55:41:35,0.335,0.277,0.186,,0.026
0310+013,03:12:44,01:33:18,0.603,0.355,0.55,0.526,0.291
0310-150,03:12:46,-14:49:52,1.612,0.679,0.339,0.138,0.056
J0314-6548,03:14:22,-65:48:25,0.227,0.233,0.208,,0.135
J0318-5650,03:18:58,-56:50:37,0.318,0.265,0.151,,0.065
J0321-3711,03:21:23,-37:11:34,,,,,-0.001
0319+121,03:21:53,12:21:14,,,0.752,,
J0323-6026,03:23:08,-60:26:32,0.197,0.242,0.23,,0.1
0320+053,03:23:20,05:34:12,2.012,0.766,0.194,,0.001
J0324-7320,03:24:04,-73:20:47,0.076,0.089,0.076,,0.079
0325+005,03:27:59,00:44:23,0.28,0.305,0.262,0.312,0.115
0327-241,03:29:54,-23:57:09,0.619,1.103,0.546,0.436,0.643
J0330-4014,03:30:51,-40:14:17,0.602,0.469,0.29,,0.129
0332-403,03:34:14,-40:08:25,1.476,1.496,1.279,1.063,0.747
0332+078,03:34:53,08:00:14,0.354,0.358,0.323,,0.109
0334-546,03:35:54,-54:30:25,0.448,0.661,0.48,0.242,0.101
0334+056,03:36:43,05:45:58,0.418,0.016,0.015,,0.015
0335-364,03:36:54,-36:16:06,,0.572,,,
0334+014,03:37:17,01:37:23,0.134,0.145,0.083,0.054,0.008
0336-019,03:39:31,-01:46:36,1.877,1.143,0.615,2.152,1.279
J0340-6703,03:40:28,-67:03:17,0.207,0.227,0.216,,0.067
0338-214,03:40:36,-21:19:31,0.893,0.715,0.476,0.345,0.104
J0341-5954,03:41:22,-59:54:09,0.226,0.176,0.089,,0.003
